ID_Credito,ID_Credito_original,ID_Tienda
bfe620,4f15e15d-c671-4f1e-a21f-9787cabfe620,
4c194e,4f44f784-f75c-4220-84a9-11a6304c194e,
9445db,4fe351bf-5dad-44d8-860a-19688c9445db,
826e00,513c8624-b79f-4a39-b406-dcf761826e00,
fdad32,51c4f11d-0264-4ffb-baa2-0a6d67fdad32,
cc2c32,54f810b2-3e33-4cfc-9b50-c93248cc2c32,
caeaf8,54fb4649-5d4d-4282-8f48-5864e6caeaf8,
0ff9d7,566a271e-833f-4070-a3bd-16da2f0ff9d7,
0bcb09,58fcf6c2-7835-424a-8e6d-648c1e0bcb09,
1b51b4,5ab008f6-ed26-4f18-8758-9ef48a1b51b4,
9982fe,5e6155c1-6ce6-4ef4-b5c0-bf2a8b9982fe,
da3ab4,5edd229f-82bc-4e3b-be71-233082da3ab4,
7c6262,5eeb4607-f624-4652-862e-928cdc7c6262,
a1cbff,61e95460-57cc-4f26-96ab-d43ce4a1cbff,
8be3f2,6231f0ac-e169-474b-8a6d-d232bf8be3f2,
d76e75,646536f7-fda7-4a9f-b419-f18c9bd76e75,
0de7bf,65412184-18eb-4688-848b-0faf140de7bf,
62915e,6546c71e-c031-41f4-aca9-23dac962915e,
809143,660cfb3e-3c25-41a6-96e6-6e241f809143,
e3f15d,6626f49e-90d4-424f-8dc8-b8e3b6e3f15d,
60f716,66469cb7-5dba-431c-9a02-05bfee60f716,
76400f,66c6d2e4-ea09-4661-ab26-aa550c76400f,
f013d5,675707ae-f858-4d4f-99d1-12ff92f013d5,
7c0e19,6a21574d-16c7-4f59-b8b0-1d78617c0e19,
b39f82,6a640324-d5bc-4c27-a601-e66449b39f82,
220193,6b71078e-183f-4107-a36b-6540da220193,
a79676,6ba0462a-ab4c-4d66-a9ec-0d6a52a79676,
b63419,6c8147fd-85bf-4b3f-8d7c-300880b63419,
75f007,6cda2d48-10b7-4898-a1b9-7cbfc075f007,
786ce5,6e4f4ce1-4fe6-430a-8806-24b3d6786ce5,
622a5a,6f3070ab-1a46-44f1-968b-2e6177622a5a,
7c68e7,6f50ded7-618f-41a3-9975-74d1de7c68e7,
6bd544,70d4b6fb-2f98-4e37-8eae-d885f06bd544,
