Fecha_reporte,OSTotal,Current,OS_30more,Castigos,LaggedWO,Current_pct,OS_30more_pct,CoincidentialWO,Num_Cuentas,reestructura,Corte
2021-08-31,3702373.68,3503327.7,100014.18000000001,0.0,0.0,0.9462382792219937,0.027013529331269447,0.0,370,0.0,Todos
2021-09-30,4532427.7,4192873.74,130005.51999999999,8760.67,0.0,0.9250834249380304,0.02868341838083815,0.0019328868720797623,463,0.0,Todos
2021-10-31,5750183.58,5078325.55,190209.32,28159.02,0.0,0.8831588555995284,0.03307882563290267,0.004897064521190649,552,0.0,Todos
2021-11-30,5746345.140000001,4677416.48,363577.99,45709.26,0.0,0.8139811247049459,0.0632711716999303,0.007954492618576068,646,0.0046439628482972135,Todos
2021-12-31,7928878.9799999995,6726796.13,434261.36,26339.9,0.0,0.8483918277688229,0.05476957853630905,0.00332202068746505,722,0.02077562326869806,Todos
2022-01-31,6743567.0600000005,5442381.57,518707.26,76482.93,0.020657809451583988,0.8070478904676304,0.07691882580611573,0.011341613321168125,786,0.03689567430025445,Todos
2022-02-28,7493200.28,6212788.75,663543.52,156137.54,0.03444898635669349,0.8291235410566125,0.08855275385752802,0.020837230310864138,903,0.04097452934662237,Todos
2022-03-31,12757189.33,11429624.1,863207.28,85117.7,0.014802605658722264,0.8959359153761183,0.06766437791826674,0.006672135828522134,1064,0.046992481203007516,Todos
2022-04-30,15524238.59,13728259.89,910497.25,192052.99,0.033421763803070076,0.8843113180985968,0.0586500423013661,0.012371169696115594,1249,0.05284227381905524,Todos
2022-05-31,18393350.52,16745896.01,1028944.1000000001,297347.04,0.037501775566260394,0.9104320603139356,0.05594109125910357,0.01616600736644029,1481,0.049966239027684,Todos
2022-06-30,19931969.490000002,17794317.62,991815.29,287971.62,0.04270315953527413,0.8927526017400099,0.04976002449219081,0.01444772530603826,1704,0.04636150234741784,Todos
2022-07-31,19465190.09,16693269.0,1462677.59,203459.09,0.02715249591593723,0.8575959917584345,0.07514324716260709,0.010452458417265602,1815,0.04628099173553719,Todos
2022-08-31,18675037.16,15366965.74,1687071.23,422122.52,0.03308899077066529,0.8228613206143682,0.0903383064540044,0.022603570551597982,1931,0.050750906266183324,Todos
2022-09-30,20878773.86,17280224.73,2046377.51,255650.54,0.016467831160793818,0.8276455718075392,0.09801234132433867,0.012244518845508373,2042,0.06023506366307542,Todos
2022-10-31,22976787.44,18883701.3,2611799.96,509630.46,0.02770732061273194,0.8218599466662428,0.11367124176172472,0.022180231302160586,2223,0.0620782726045884,Todos
2022-11-30,22809522.91,18597548.65,2893249.61,758476.08,0.03805324307668301,0.8153414134693096,0.12684393362438812,0.033252606071262514,2381,0.05879882402351953,Todos
2022-12-31,23394600.509999998,18896049.77,2979275.04,733180.01,0.037666213718439964,0.8077098714262252,0.12734883157019553,0.03133971061768247,2421,0.06278397356464271,Todos
2023-01-31,23014319.08,19106649.5,2800340.22,813540.85,0.0435630110414195,0.8302070303963128,0.12167816958936507,0.035349333915624434,2502,0.06314948041566747,Todos
2023-02-28,21630436.95,18243822.0,2231747.88,954110.4400000001,0.04569762795447987,0.8434328923715987,0.10317627356113118,0.04410962396206051,2587,0.0676459219172787,Todos
2023-03-31,20067852.51,16804169.39,1922134.19,910651.28,0.039633533729552556,0.8373675948448557,0.09578175786582956,0.04537861136590276,2680,0.07014925373134329,Todos
2023-04-30,18357545.14,14722442.459999999,2338982.01,595085.24,0.026089333053919615,0.8019831817229566,0.12741257026264893,0.032416384405506406,2751,0.07015630679752817,Todos
2023-05-31,16734737.16,13621292.91,2166583.76,496339.05,0.021215966042584918,0.8139532028359625,0.12946625568632472,0.029659207984818053,2823,0.0750974140984768,Todos
2023-06-30,18477034.080000002,14941585.14,2076258.11,698833.31,0.030365152563097242,0.8086571186321045,0.11236966393039201,0.03782172544434804,2894,0.07360055286800277,Todos
2023-07-31,16513686.120000001,13718107.9,1971453.46,849370.36,0.03926736949250577,0.8307114353703121,0.11938300423503508,0.05143432870331712,2935,0.07291311754684839,Todos
2023-08-31,15409483.77,12760352.01,1778724.84,593598.0,0.02957954767228851,0.8280843278372848,0.11543052749521149,0.03852160194718936,2950,0.07220338983050847,Todos
2022-01-31,6743567.0600000005,5442381.57,518707.26,175482.16,0.0,0.8070478904676304,0.07691882580611573,0.026022156884985406,786,0.03689567430025445,Catorcenal
2022-02-28,7493200.28,6212788.75,663543.52,156137.54,0.0,0.8291235410566125,0.08855275385752802,0.020837230310864138,903,0.04097452934662237,Catorcenal
2023-07-31,16513686.120000001,13718107.9,1971453.46,8630978.82,0.0,0.8307114353703121,0.11938300423503508,0.522656102173436,2935,0.07291311754684839,Catorcenal
2022-01-31,6743567.0600000005,5442381.57,422377.1,175482.16,0.0,0.8070478904676304,0.06263407722381276,0.026022156884985406,786,0.03689567430025445,Semanal
2022-02-28,7493200.28,6212788.75,581071.41,156137.54,0.0,0.8291235410566125,0.07754649392609055,0.020837230310864138,903,0.04097452934662237,Semanal
2022-10-31,22976787.44,18883701.3,2434445.8,2073660.83,0.0,0.8218599466662428,0.10595240115081987,0.09025025084181645,2223,0.0620782726045884,Semanal
2023-07-31,16513686.120000001,13718107.9,1772992.58,6645848.61,0.0,0.8307114353703121,0.10736504055582716,0.4024448909651418,2935,0.07291311754684839,Semanal
2021-08-31,3702373.68,3503327.7,100014.18000000001,0.0,0.0,0.9462382792219937,0.027013529331269447,0.0,370,0.0,Mensual
2021-09-30,4532427.7,4192873.74,130005.51999999999,8760.67,0.0,0.9250834249380304,0.02868341838083815,0.0019328868720797623,463,0.0,Mensual
2021-10-31,5750183.58,5078325.55,190209.32,28159.02,0.0,0.8831588555995284,0.03307882563290267,0.004897064521190649,552,0.0,Mensual
2021-11-30,5746345.140000001,4677416.48,363577.99,45709.26,0.0,0.8139811247049459,0.0632711716999303,0.007954492618576068,646,0.0046439628482972135,Mensual
2021-12-31,7928878.9799999995,6726796.13,434261.36,26339.9,0.0,0.8483918277688229,0.05476957853630905,0.00332202068746505,722,0.02077562326869806,Mensual
2022-01-31,6743567.0600000005,5442381.57,518707.26,76482.93,0.020657809451583988,0.8070478904676304,0.07691882580611573,0.011341613321168125,786,0.03689567430025445,Mensual
2022-02-28,7493200.28,6212788.75,663543.52,156137.54,0.03444898635669349,0.8291235410566125,0.08855275385752802,0.020837230310864138,903,0.04097452934662237,Mensual
2022-03-31,12757189.33,11429624.1,863207.28,85117.7,0.014802605658722264,0.8959359153761183,0.06766437791826674,0.006672135828522134,1064,0.046992481203007516,Mensual
2022-04-30,15524238.59,13728259.89,910497.25,192052.99,0.033421763803070076,0.8843113180985968,0.0586500423013661,0.012371169696115594,1249,0.05284227381905524,Mensual
2022-05-31,18393350.52,16745896.01,1028944.1000000001,297347.04,0.037501775566260394,0.9104320603139356,0.05594109125910357,0.01616600736644029,1481,0.049966239027684,Mensual
2022-06-30,19931969.490000002,17794317.62,991815.29,287971.62,0.04270315953527413,0.8927526017400099,0.04976002449219081,0.01444772530603826,1704,0.04636150234741784,Mensual
2022-07-31,19465190.09,16693269.0,1462677.59,203459.09,0.02715249591593723,0.8575959917584345,0.07514324716260709,0.010452458417265602,1815,0.04628099173553719,Mensual
2022-08-31,18675037.16,15366965.74,1687071.23,422122.52,0.03308899077066529,0.8228613206143682,0.0903383064540044,0.022603570551597982,1931,0.050750906266183324,Mensual
2022-09-30,20878773.86,17280224.73,2046377.51,255650.54,0.016467831160793818,0.8276455718075392,0.09801234132433867,0.012244518845508373,2042,0.06023506366307542,Mensual
2022-10-31,22976787.44,18883701.3,2611799.96,509630.46,0.02770732061273194,0.8218599466662428,0.11367124176172472,0.022180231302160586,2223,0.0620782726045884,Mensual
2022-11-30,22809522.91,18597548.65,2893249.61,758476.08,0.03805324307668301,0.8153414134693096,0.12684393362438812,0.033252606071262514,2381,0.05879882402351953,Mensual
2022-12-31,23394600.509999998,18896049.77,2979275.04,733180.01,0.037666213718439964,0.8077098714262252,0.12734883157019553,0.03133971061768247,2421,0.06278397356464271,Mensual
2023-01-31,23014319.08,19106649.5,2800340.22,813540.85,0.0435630110414195,0.8302070303963128,0.12167816958936507,0.035349333915624434,2502,0.06314948041566747,Mensual
2023-02-28,21630436.95,18243822.0,2231747.88,954110.4400000001,0.04569762795447987,0.8434328923715987,0.10317627356113118,0.04410962396206051,2587,0.0676459219172787,Mensual
2023-03-31,20067852.51,16804169.39,1922134.19,910651.28,0.039633533729552556,0.8373675948448557,0.09578175786582956,0.04537861136590276,2680,0.07014925373134329,Mensual
2023-04-30,18357545.14,14722442.459999999,2338982.01,595085.24,0.026089333053919615,0.8019831817229566,0.12741257026264893,0.032416384405506406,2751,0.07015630679752817,Mensual
2023-05-31,16734737.16,13621292.91,2166583.76,496339.05,0.021215966042584918,0.8139532028359625,0.12946625568632472,0.029659207984818053,2823,0.0750974140984768,Mensual
2023-06-30,18477034.080000002,14941585.14,2076258.11,698833.31,0.030365152563097242,0.8086571186321045,0.11236966393039201,0.03782172544434804,2894,0.07360055286800277,Mensual
2023-07-31,16513686.120000001,13718107.9,1971453.46,849370.36,0.03926736949250577,0.8307114353703121,0.11938300423503508,0.05143432870331712,2935,0.07291311754684839,Mensual
2023-08-31,15409483.77,12760352.01,1778724.84,593598.0,0.02957954767228851,0.8280843278372848,0.11543052749521149,0.03852160194718936,2950,0.07220338983050847,Mensual
