zone,zip_code,latitude,longitude,balanced_kmeans,subzone,Cuentas
Cuautitlan,55707,19.6279133,-99.1212536,blue,3.0,1
Cuautitlan,55710,19.6606218,-99.0905758,green,2.0,3
Cuautitlan,55712,19.6418374,-99.1144494,blue,3.0,4
Cuautitlan,55714,19.6384213,-99.0806536,green,2.0,1
Cuautitlan,55717,19.633964925,-99.121376675,blue,3.0,2
Cuautitlan,55718,19.6179541,-99.0877015,green,2.0,2
Cuautitlan,55730,19.6297669,-99.0959308,green,2.0,1
Cuautitlan,55744,19.7534802,-98.986048,red,1.0,1
Cuautitlan,55748,19.6849874,-98.9766543,green,3.0,1
Cuautitlan,55763,19.6259342,-99.0242734,green,1.0,1
Cuautitlan,55764,19.62438326,-99.02062724,green,1.0,3
Cuautitlan,55767,19.652363,-99.0296455,green,2.0,1
Cuautitlan,55780,19.605922033333336,-99.0618435,green,1.0,3
Cuautitlan,55790,19.73986832777777,-99.0758021222222,red,1.0,1
Cuautitlan,55796,19.692802535820896,-99.07277145074627,green,3.0,7
Iztapalapa 1,04910,19.3192867,-99.10841696103871,gold,2.0,1
Iztapalapa 1,08000,19.3920084,-99.09497379172944,green,1.0,3
Iztapalapa 1,08020,19.386465,-99.09730942281854,green,3.0,1
Iztapalapa 1,08100,19.4101876,-99.06665781437904,green,1.0,7
Iztapalapa 1,08300,19.4016665,-99.12132757218842,green,3.0,2
Iztapalapa 1,08310,19.4034626,-99.1164582463772,green,3.0,1
Iztapalapa 1,08500,19.390416113636363,-99.07574969090908,green,1.0,13
Iztapalapa 1,08510,19.3945337,-99.08488753991776,green,1.0,4
Iztapalapa 1,08610,19.394773800000003,-99.12079230620064,green,3.0,1
Iztapalapa 1,08650,19.3922829,-99.11709982989709,green,3.0,1
Iztapalapa 1,08700,19.39117925,-99.10894994489932,green,3.0,4
Iztapalapa 1,08720,19.3957241,-99.10660185223006,green,3.0,1
Iztapalapa 1,08730,19.3919316,-99.10151420416906,green,3.0,2
Iztapalapa 1,08760,19.3889907,-99.1107200880446,green,3.0,2
Iztapalapa 1,08840,19.3775926,-99.12898497323808,green,3.0,1
Iztapalapa 1,08900,19.3838964,-99.105872673446,green,3.0,2
Iztapalapa 1,08930,19.38489035,-99.11684274480643,green,3.0,1
Iztapalapa 1,09000,19.3636288,-99.09399964881558,green,2.0,20
Iztapalapa 1,09040,19.37527635,-99.08805924783276,green,1.0,10
Iztapalapa 1,09060,19.3633902,-99.11447588193798,green,3.0,3
Iztapalapa 1,09090,19.3619328,-99.11845090500908,green,3.0,1
Iztapalapa 1,09100,19.3912822,-99.04195319938626,blue,2.0,13
Iztapalapa 1,09140,19.3736147,-99.01009825544004,red,3.0,4
Iztapalapa 1,09180,19.3652631,-98.99840599174884,red,1.0,3
Iztapalapa 1,09200,19.35726375,-99.05514616583372,blue,1.0,11
Iztapalapa 1,09208,19.37677995,-99.04984876027892,blue,2.0,10
Iztapalapa 1,09209,19.36744125,-99.04966140039048,blue,3.0,34
Iztapalapa 1,09220,19.38622435,-99.0572094085035,blue,2.0,2
Iztapalapa 1,09230,19.3779454,-99.03157668971612,blue,2.0,5
Iztapalapa 1,09239,19.36826175,-99.02763329166729,red,3.0,1
Iztapalapa 1,09240,19.3583937,-99.06406610656944,blue,1.0,5
Iztapalapa 1,09260,19.348562,-99.06326280323124,blue,1.0,4
Iztapalapa 1,09280,19.34681915,-99.05127787984252,blue,1.0,2
Iztapalapa 1,09290,19.35606315,-99.04489773957395,blue,1.0,9
Iztapalapa 1,09300,19.36712855,-99.07622868583356,green,2.0,2
Iztapalapa 1,09310,19.37801645,-99.06953721895042,blue,2.0,9
Iztapalapa 1,09360,19.35634145,-99.07936541698228,green,2.0,7
Iztapalapa 1,09400,19.37284855,-99.11525460618572,green,3.0,2
Iztapalapa 1,09410,19.37527635,-99.10579373829871,green,3.0,11
Iztapalapa 1,09420,19.3785049,-99.1053942841514,green,3.0,1
Iztapalapa 1,09438,19.3757076,-99.11642538250288,green,3.0,2
Iztapalapa 1,09440,19.3744712,-99.1341857,green,3.0,2
Iztapalapa 1,09450,19.363136150000003,-99.13687925029214,green,3.0,1
Iztapalapa 1,09500,19.3510719,-99.02526022905982,red,3.0,3
Iztapalapa 1,09510,19.36084175,-99.00720655884425,red,3.0,4
Iztapalapa 1,09520,19.3629169,-99.0161166274346,red,3.0,3
Iztapalapa 1,09530,19.3701213,-99.01895348106164,red,3.0,1
Iztapalapa 1,09570,19.3574708,-99.0329559003976,red,3.0,11
Iztapalapa 1,09578,19.367010200000003,-99.03545857496512,blue,3.0,3
Iztapalapa 1,09600,19.35329875,-99.00362800298775,red,1.0,2
Iztapalapa 1,09608,19.35232145,-99.01053785591289,red,3.0,2
Iztapalapa 1,09609,19.3467872,-99.01101629935349,red,2.0,6
Iztapalapa 1,09620,19.3533499,-98.99778316870378,red,1.0,4
Iztapalapa 1,09630,19.345568,-98.98847345368908,red,1.0,8
Iztapalapa 1,09637,19.33056365,-98.97785493856196,red,1.0,1
Iztapalapa 1,09638,19.3393576,-98.9792046898354,red,1.0,2
Iztapalapa 1,09640,19.33687035,-99.01104806667148,red,2.0,14
Iztapalapa 1,09648,19.3336453,-99.00397550980318,red,2.0,1
Iztapalapa 1,09660,19.3409435,-99.02213107593502,red,2.0,4
Iztapalapa 1,09670,19.3361732,-99.02556375729186,red,2.0,3
Iztapalapa 1,09690,19.3442308,-98.9982926774142,red,1.0,4
Iztapalapa 1,09696,19.332976,-98.99602284070642,red,1.0,2
Iztapalapa 1,09698,19.34311045,-99.00280626978945,red,1.0,4
Iztapalapa 1,09700,19.33097845,-99.043769518861,gold,1.0,27
Iztapalapa 1,09705,19.31828275,-99.03586889057136,gold,1.0,1
Iztapalapa 1,09708,19.32452955,-99.04759383049635,gold,1.0,2
Iztapalapa 1,09720,19.3387433,-99.0581940238692,blue,1.0,2
Iztapalapa 1,09730,19.3392838,-99.03110522711096,red,2.0,3
Iztapalapa 1,09740,19.33302035,-99.06120984473584,gold,2.0,2
Iztapalapa 1,09750,19.33446585,-99.05181913250672,gold,1.0,10
Iztapalapa 1,09760,19.32509795,-99.05694855443464,gold,2.0,3
Iztapalapa 1,09770,19.3278472,-99.06491227630698,gold,2.0,4
Iztapalapa 1,09780,19.31940725,-99.06611884826532,gold,2.0,5
Iztapalapa 1,09790,19.31349715,-99.06564042201384,gold,2.0,2
Iztapalapa 1,09800,19.33804795,-99.10474770097088,green,2.0,3
Iztapalapa 1,09810,19.3535735,-99.11435570262458,green,2.0,2
Iztapalapa 1,09820,19.35110545,-99.10300915191424,green,2.0,3
Iztapalapa 1,09829,19.35069395,-99.09575395307256,green,2.0,1
Iztapalapa 1,09830,19.34477635,-99.0687976486778,blue,1.0,4
Iztapalapa 1,09849,19.3453623,-99.1032180968728,green,2.0,1
Iztapalapa 1,09850,19.33559825,-99.08350426318246,gold,2.0,3
Iztapalapa 1,09900,19.30700445,-99.07240344543948,gold,2.0,7
Iztapalapa 1,09910,19.3136013,-99.0757778261547,gold,2.0,3
Iztapalapa 1,09920,19.30536105,-99.0823825585629,gold,2.0,3
Iztapalapa 1,09960,19.293614,-99.06598567692556,gold,2.0,3
Iztapalapa 1,09969,19.2926553,-99.0713396,gold,2.0,1
Iztapalapa 1,09970,19.2987688,-99.07855495329824,gold,2.0,6
Iztapalapa 1,13000,19.27289235,-99.00525641514496,gold,1.0,1
Iztapalapa 1,13050,19.264696200000003,-98.98570237301304,gold,1.0,1
Iztapalapa 1,13060,19.2683315,-99.00879707379788,gold,1.0,1
Iztapalapa 1,13070,19.2679207,-99.00200343783632,gold,1.0,1
Iztapalapa 1,13080,19.26378845,-99.00555663387377,gold,1.0,2
Iztapalapa 1,13093,19.2558194,-99.00788952868088,gold,1.0,1
Iztapalapa 1,13219,19.306847266666665,-99.0553464,gold,2.0,2
Iztapalapa 1,13278,19.28250555,-99.05425870325271,gold,1.0,1
Iztapalapa 1,13280,19.2899699,-99.05279585039386,gold,1.0,1
Iztapalapa 1,13300,19.3026352,-99.03835477356516,gold,1.0,3
Iztapalapa 1,13360,19.2854256,-99.03523538479372,gold,1.0,2
Iztapalapa 1,13530,19.24229175,-98.99423086136925,gold,1.0,1
Iztapalapa 1,13546,19.242804,-99.00963555584286,gold,1.0,1
Iztapalapa 1,13700,19.212725485714287,-98.97267955714284,gold,1.0,1
Iztapalapa 1,14300,19.2999972,-99.12576815143302,gold,2.0,1
Iztapalapa 1,16450,19.24322445,-99.09348993834996,gold,2.0,1
Iztapalapa 1,16610,19.26054685,-99.03473627612595,gold,1.0,1
Iztapalapa 1,16710,19.2592029,-99.02416240373115,gold,1.0,1
Iztapalapa 1,16720,19.25112775,-99.02768511590004,gold,1.0,1
Iztapalapa 1,16750,19.25248335,-99.01069043080452,gold,1.0,1
Iztapalapa 1,16770,19.25343925,-99.01972019983036,gold,1.0,1
Iztapalapa 1,16780,19.2455486,-99.01891341064126,gold,1.0,1
Nezahualcoyotl,11860,19.40590765,-99.1928276314652,red,2.0,1
Nezahualcoyotl,15000,19.4146886,-99.09633188560888,red,2.0,3
Nezahualcoyotl,15010,19.41662085,-99.09373653408652,red,2.0,1
Nezahualcoyotl,15220,19.453111,-99.11978338710756,red,2.0,1
Nezahualcoyotl,15270,19.44494285,-99.12135370123144,red,2.0,1
Nezahualcoyotl,15300,19.4445663,-99.10874203833932,red,2.0,2
Nezahualcoyotl,15400,19.44150535,-99.09727712425465,red,2.0,1
Nezahualcoyotl,15410,19.4489411,-99.09666232083244,red,2.0,2
Nezahualcoyotl,15420,19.4479279,-99.10089760957382,red,2.0,1
Nezahualcoyotl,15500,19.42787825,-99.1066429779078,red,2.0,1
Nezahualcoyotl,15510,19.44445945,-99.0847408324787,red,1.0,1
Nezahualcoyotl,15530,19.4326139,-99.09788289901896,red,2.0,3
Nezahualcoyotl,15610,19.4220152,-99.06247432864684,gold,3.0,1
Nezahualcoyotl,15630,19.42574465,-99.0699773920702,red,1.0,2
Nezahualcoyotl,15640,19.43669665,-99.05386488318985,gold,2.0,1
Nezahualcoyotl,15660,19.4286272,-99.0564138,gold,2.0,1
Nezahualcoyotl,15670,19.4184409,-99.072595651538,red,1.0,1
Nezahualcoyotl,15700,19.4207434,-99.08745599310302,red,2.0,1
Nezahualcoyotl,15750,19.41222565,-99.07623857190764,red,1.0,1
Nezahualcoyotl,15810,19.42031725,-99.12395833759894,red,2.0,1
Nezahualcoyotl,15820,19.41638845,-99.12452208543554,red,2.0,1
Nezahualcoyotl,15830,19.41132695,-99.12589064161838,red,2.0,1
Nezahualcoyotl,15870,19.4130823,-99.12303298110952,red,2.0,1
Nezahualcoyotl,15960,19.42273425,-99.1184065125586,red,2.0,1
Nezahualcoyotl,15970,19.4209389,-99.11577303691644,red,2.0,1
Nezahualcoyotl,56400,19.359546,-98.9931229,green,2.0,5
Nezahualcoyotl,56410,19.3573984,-98.9885521,green,2.0,1
Nezahualcoyotl,56420,19.3644552,-98.98483441112292,green,2.0,1
Nezahualcoyotl,56430,19.3693459,-98.9829425,green,2.0,3
Nezahualcoyotl,56440,19.36722055,-98.94971757780029,green,3.0,2
Nezahualcoyotl,56490,19.3424395,-98.9776443,green,2.0,3
Nezahualcoyotl,56500,19.3690879,-98.9614986,green,3.0,2
Nezahualcoyotl,56507,19.3518934,-98.9400348,green,3.0,4
Nezahualcoyotl,56509,19.352385,-98.9649658,green,3.0,1
Nezahualcoyotl,56510,19.36754945,-98.98428385,green,2.0,2
Nezahualcoyotl,56512,19.3645383,-98.9282883,green,3.0,3
Nezahualcoyotl,56513,19.3735102,-98.9365491,green,3.0,1
Nezahualcoyotl,56515,19.3815599,-98.9390665,green,3.0,1
Nezahualcoyotl,56520,19.3807164,-98.9528643,green,3.0,1
Nezahualcoyotl,56524,19.371374921621317,-98.96001150018701,green,3.0,1
Nezahualcoyotl,56529,19.380225,-98.9460047,green,3.0,1
Nezahualcoyotl,56600,19.253484057142856,-98.89350985714286,green,1.0,2
