Cosecha,KPI,Mes,Value
2022-02,Par30,M006,0.15428587083594958
2022-03,Par30,M006,0.15277053646647734
2022-04,Par30,M006,0.22430694471991425
2022-05,Par30,M006,0.30258920414166907
2022-06,Par30,M006,0.24479703939443867
2022-07,Par30,M006,0.32013390525892915
2022-08,Par30,M006,0.2791717142218936
2022-09,Par30,M006,0.27742395805458486
2022-10,Par30,M006,0.3315178524143876
2022-11,Par30,M006,0.2547363900993511
2022-12,Par30,M006,0.08408377657317727
2023-01,Par30,M006,0.2251484407094559
2023-02,Par30,M006,0.3477459695639752
2021-08,Par30,M007,0.15674936696911812
2021-09,Par30,M007,0.22601083908783154
2021-10,Par30,M007,0.12698573655522524
2021-11,Par30,M007,0.18589619558155643
2021-12,Par30,M007,0.05443853502217995
2022-01,Par30,M007,0.15861573182404773
2022-02,Par30,M007,0.18881476205161635
2022-03,Par30,M007,0.18944483130702974
2022-04,Par30,M007,0.30800293609407253
2022-05,Par30,M007,0.32496882591706705
2022-06,Par30,M007,0.26778893382328467
2022-07,Par30,M007,0.3433364567620037
2022-08,Par30,M007,0.3649321848556273
2022-09,Par30,M007,0.33949992347568164
2022-10,Par30,M007,0.35806617880829816
2022-11,Par30,M007,0.2526646454039195
2022-12,Par30,M007,0.1197052165310167
2023-01,Par30,M007,0.3418261719956894
2021-08,Par30,M008,0.2029374256621461
2021-09,Par30,M008,0.2735195179803442
2021-10,Par30,M008,0.15888521666176317
2021-11,Par30,M008,0.20683249846010826
2021-12,Par30,M008,0.07228185990897833
2022-01,Par30,M008,0.15755554564130866
2022-02,Par30,M008,0.2108934209942711
2022-03,Par30,M008,0.22946520323307232
2022-04,Par30,M008,0.2852121179827043
2022-05,Par30,M008,0.3694796477951527
2022-06,Par30,M008,0.28166071300988266
2022-07,Par30,M008,0.4142967914115931
2022-08,Par30,M008,0.40948860088082345
2022-09,Par30,M008,0.34041283844504927
2022-10,Par30,M008,0.3477162427834287
2022-11,Par30,M008,0.2966571840662022
2022-12,Par30,M008,0.24396275975148254
2021-08,Par30,M009,0.2242130661291115
2021-09,Par30,M009,0.2615627524753059
2021-10,Par30,M009,0.21925828153010576
2021-11,Par30,M009,0.25285530225956887
2021-12,Par30,M009,0.11833685462322929
2022-01,Par30,M009,0.21896019462662863
2022-02,Par30,M009,0.2716452473632727
2022-03,Par30,M009,0.26730694023149526
2022-04,Par30,M009,0.2671012632605708
2022-05,Par30,M009,0.4171917886376993
2022-06,Par30,M009,0.3207096228393517
2022-07,Par30,M009,0.49698847448365874
2022-08,Par30,M009,0.4604878250470667
2022-09,Par30,M009,0.3101569136482995
2022-10,Par30,M009,0.3847897845982038
2022-11,Par30,M009,0.32864110816943637
2021-08,Par30,M010,0.20626723328641489
2021-09,Par30,M010,0.35138562906527104
2021-10,Par30,M010,0.2529342480271714
2021-11,Par30,M010,0.2658743534495038
2021-12,Par30,M010,0.14245833383267414
2022-01,Par30,M010,0.3125108709761454
2022-02,Par30,M010,0.2688670075683907
2022-03,Par30,M010,0.29640533056888985
2022-04,Par30,M010,0.3098709026833167
2022-05,Par30,M010,0.47915069697746326
2022-06,Par30,M010,0.38142412585982605
2022-07,Par30,M010,0.543723130408793
2022-08,Par30,M010,0.4248659132377899
2022-09,Par30,M010,0.35578836952704196
2022-10,Par30,M010,0.43246345758364263
2021-08,Par30,M011,0.216584138824985
2021-09,Par30,M011,0.37047437262427163
2021-10,Par30,M011,0.23060430410447139
2021-11,Par30,M011,0.3087572927656128
2021-12,Par30,M011,0.14872406087467255
2022-01,Par30,M011,0.33842048835733485
2022-02,Par30,M011,0.3084088812148112
2022-03,Par30,M011,0.29815491510987147
2022-04,Par30,M011,0.3516651256240237
2022-05,Par30,M011,0.505655607180382
2022-06,Par30,M011,0.4050568027603085
2022-07,Par30,M011,0.5668709786929464
2022-08,Par30,M011,0.46916978609021803
2022-09,Par30,M011,0.39485248718609695
2021-08,Par30,M012,0.2807824308292925
2021-09,Par30,M012,0.4042888874075644
2021-10,Par30,M012,0.23210294980561264
2021-11,Par30,M012,0.32707035030482806
2021-12,Par30,M012,0.16454316359723584
2022-01,Par30,M012,0.36627925067187933
2022-02,Par30,M012,0.3195543666446597
2022-03,Par30,M012,0.30892557370789325
2022-04,Par30,M012,0.3862226817189587
2022-05,Par30,M012,0.5644523955567463
2022-06,Par30,M012,0.39243131027895556
2022-07,Par30,M012,0.5964779081041157
2022-08,Par30,M012,0.5269396431889676
2021-08,Par30,M013,0.26988386518248914
2021-09,Par30,M013,0.38794365563296246
2021-10,Par30,M013,0.26909644915887626
2021-11,Par30,M013,0.3122778306266212
2021-12,Par30,M013,0.16843176352749112
2022-01,Par30,M013,0.3595603227287815
